report_year,division,category,subtype,count,count_
2018,D32,Crimes Against Property,Break & Enter-Apartment,5,5
2016,D33,Crimes Against Property,Theft Over $5000,1,1
2021,D13,Crimes Against Property,Break & Enter-Apartment,1,1
2018,D23,Crimes Against Property,Other,3,3
2016,D55,Crimes Against Property,Break & Enter-Other,1,1
2015,D42,Crimes Against Property,Break & Enter-Commercial,2,2
2022,D42,Crimes Against Property,Break & Enter-Apartment,1,1
2022,D23,Crimes Against Property,Break & Enter-Other,1,1
2018,D42,Crimes Against Property,Theft Over $5000,3,3
2023,D22,Crimes Against Property,Break & Enter-Other,2,2
2020,D12,Crimes Against Property,Theft Over $5000,2,2
2017,D42,Crimes Against Property,Theft Over $5000,1,1
2019,D52,Crimes Against Property,Break & Enter-Commercial,5,5
2015,D41,Crimes Against Property,Auto Theft,14,14
2020,D11,Crimes Against Property,Break & Enter-Apartment,3,3
2018,D13,Crimes Against Property,Break & Enter-House,15,15
2014,D55,Crimes Against Property,Break & Enter-Other,3,3
2019,D23,Crimes Against Property,Theft Over $5000,3,3
2021,D42,Crimes Against Property,Break & Enter-Commercial,18,18
2015,D51,Crimes Against Property,Break & Enter-Other,1,1
2023,D42,Crimes Against Property,Auto Theft,2,2
2019,D33,Crimes Against Property,Break & Enter-House,6,6
2019,D11,Crimes Against Property,Break & Enter-House,3,3
2018,D22,Crimes Against Property,Auto Theft,11,11
2020,D32,Crimes Against Property,Break & Enter-House,6,6
2014,D23,Crimes Against Property,Break & Enter-Apartment,2,2
2016,D22,Crimes Against Property,Theft Under $5000,1,1
2016,D43,Crimes Against Property,Break & Enter-Commercial,1,1
2015,D32,Crimes Against Property,Fraud,3,3
2020,D32,Crimes Against Property,Break & Enter-Other,1,1
2014,D42,Crimes Against Property,Theft Over $5000,6,6
2018,D33,Crimes Against Property,Break & Enter-Commercial,3,3
2023,D41,Crimes Against Property,Theft Under $5000,2,2
2016,D32,Crimes Against Property,Break & Enter-Other,1,1
2021,D41,Crimes Against Property,Auto Theft,30,30
2014,D13,Crimes Against Property,Break & Enter-Commercial,1,1
2022,D43,Crimes Against Property,Break & Enter-Commercial,1,1
2016,D32,Crimes Against Property,Break & Enter-House,9,9
2018,D23,Crimes Against Property,Theft Under $5000,8,8
2020,D53,Crimes Against Property,Theft Over $5000,10,10
2014,D31,Crimes Against Property,Break & Enter-Other,3,3
2022,D53,Crimes Against Property,Fraud,4,4
2017,NSA,Crimes Against Property,Auto Theft,33,33
2016,D53,Crimes Against Property,Theft Over $5000,1,1
2018,D53,Crimes Against Property,Break & Enter-Commercial,4,4
2019,D12,Crimes Against Property,Theft Over $5000,4,4
2014,D33,Crimes Against Property,Auto Theft,11,11
2022,D33,Crimes Against Property,Auto Theft,27,27
2019,D42,Crimes Against Property,Theft Over $5000,1,1
2016,D23,Crimes Against Property,Other,1,1
2016,D33,Crimes Against Property,Break & Enter-Apartment,7,7
2021,D32,Crimes Against Property,Theft Over $5000,1,1
2022,D33,Crimes Against Property,Break & Enter-House,6,6
2015,D22,Crimes Against Property,Break & Enter-House,1,1
2022,D41,Crimes Against Property,Break & Enter-House,1,1
2016,D23,Crimes Against Property,Fraud,1,1
2021,D52,Crimes Against Property,Fraud,8,8
2014,D55,Crimes Against Property,Break & Enter-Apartment,2,2
2017,D53,Crimes Against Property,Auto Theft,4,4
2016,D22,Crimes Against Property,Theft Over $5000,2,2
2022,D32,Crimes Against Property,Theft Under $5000,1,1
2014,D23,Crimes Against Property,Theft Over $5000,1,1
2017,D23,Crimes Against Property,Other,1,1
2019,D55,Crimes Against Property,Other,1,1
2017,D11,Crimes Against Property,Theft Over $5000,1,1
2022,D42,Crimes Against Property,Break & Enter-Apartment,1,1
2015,D22,Crimes Against Property,Auto Theft,1,1
2020,D51,Crimes Against Property,Break & Enter-House,1,1
2019,D31,Crimes Against Property,Break & Enter-Other,1,1
2015,D32,Crimes Against Property,Break & Enter-Apartment,12,12
2018,D33,Crimes Against Property,Theft Under $5000,3,3
2015,D33,Crimes Against Property,Theft Over $5000,2,2
2019,D32,Crimes Against Property,Break & Enter-Commercial,11,11
2023,D31,Crimes Against Property,Fraud,27,27
2016,D55,Crimes Against Property,Theft Over $5000,7,7
2018,D23,Crimes Against Property,Other,2,2
2017,D23,Crimes Against Property,Other,1,1
2021,D33,Crimes Against Property,Theft Over $5000,5,5
2021,D53,Crimes Against Property,Theft Over $5000,1,1
2022,D32,Crimes Against Property,Break & Enter-House,25,25
2020,D11,Crimes Against Property,Break & Enter-House,1,1
2020,D14,Crimes Against Property,Break & Enter-Apartment,4,4
2020,D53,Crimes Against Property,Break & Enter-Commercial,2,2
2019,D32,Crimes Against Property,Theft Over $5000,2,2
2020,D22,Crimes Against Property,Break & Enter-Other,1,1
2018,D22,Crimes Against Property,Break & Enter-Other,2,2
2015,D51,Crimes Against Property,Theft Over $5000,14,14
2015,D32,Crimes Against Property,Other,7,7
2017,D55,Crimes Against Property,Theft Over $5000,3,3
2017,D32,Crimes Against Property,Break & Enter-Commercial,3,3
2015,D22,Crimes Against Property,Break & Enter-Other,2,2
2018,D12,Crimes Against Property,Break & Enter-House,2,2
2015,D32,Crimes Against Property,Theft Over $5000,1,1
2016,D13,Crimes Against Property,Break & Enter-Apartment,4,4
2021,D22,Crimes Against Property,Break & Enter-Apartment,3,3
2016,D52,Crimes Against Property,Theft Under $5000,1,1
2014,D55,Crimes Against Property,Break & Enter-Other,2,2
2017,D43,Crimes Against Property,Theft Over $5000,2,2
2020,D53,Crimes Against Property,Other,1,1
2017,D11,Crimes Against Property,Break & Enter-Other,2,2
2020,D32,Crimes Against Property,Break & Enter-Commercial,1,1
2014,D32,Crimes Against Property,Break & Enter-House,27,27
2023,D13,Crimes Against Property,Break & Enter-House,4,4
2018,D55,Crimes Against Property,Theft Under $5000,1,1
2022,D33,Crimes Against Property,Fraud,1,1
2015,D43,Crimes Against Property,Auto Theft,16,16
2015,D14,Crimes Against Property,Theft Under $5000,1,1
2018,D11,Crimes Against Property,Fraud,1,1
2021,D55,Crimes Against Property,Break & Enter-Apartment,7,7
2015,D22,Crimes Against Property,Other,1,1
2017,D31,Crimes Against Property,Break & Enter-House,12,12
2014,D32,Crimes Against Property,Theft Over $5000,4,4
2019,D11,Crimes Against Property,Break & Enter-Apartment,5,5
2020,D12,Crimes Against Property,Break & Enter-Other,2,2
2016,D14,Crimes Against Property,Break & Enter-Other,3,3
2016,D32,Crimes Against Property,Break & Enter-Commercial,5,5
2018,D33,Crimes Against Property,Theft Under $5000,1,1
2015,D53,Crimes Against Property,Theft Over $5000,5,5
2015,D55,Crimes Against Property,Break & Enter-Other,2,2
2020,D22,Crimes Against Property,Break & Enter-Apartment,2,2
2016,D14,Crimes Against Property,Fraud,1,1
2017,D51,Crimes Against Property,Theft Under $5000,1,1
2015,D22,Crimes Against Property,Theft Over $5000,4,4
2017,D52,Crimes Against Property,Theft Under $5000,1,1
2015,D55,Crimes Against Property,Break & Enter-Other,2,2
2014,D22,Crimes Against Property,Break & Enter-Other,1,1
2021,D33,Crimes Against Property,Break & Enter-Apartment,3,3
2014,D52,Crimes Against Property,Other,1,1
2016,D53,Crimes Against Property,Fraud,1,1
2015,D52,Crimes Against Property,Theft Over $5000,1,1
2014,D41,Crimes Against Property,Break & Enter-Other,1,1
2018,D51,Crimes Against Property,Break & Enter-House,2,2
2016,NSA,Crimes Against Property,Theft Under $5000,1,1
2015,D55,Crimes Against Property,Auto Theft,1,1
2021,D32,Crimes Against Property,Break & Enter-House,15,15
2018,D32,Crimes Against Property,Break & Enter-Apartment,15,15
2017,D53,Crimes Against Property,Break & Enter-Other,1,1
2018,D51,Crimes Against Property,Theft Over $5000,4,4
2019,D13,Crimes Against Property,Break & Enter-Apartment,5,5
2021,D43,Crimes Against Property,Break & Enter-House,1,1
2014,D13,Crimes Against Property,Theft Over $5000,4,4
2017,D55,Crimes Against Property,Fraud,32,32
2020,D33,Crimes Against Property,Theft Under $5000,2,2
2018,D13,Crimes Against Property,Fraud,1,1
2018,D53,Crimes Against Property,Break & Enter-Other,3,3
2022,D42,Crimes Against Property,Break & Enter-Commercial,4,4
2015,D41,Crimes Against Property,Fraud,1,1
2018,D53,Crimes Against Property,Break & Enter-House,10,10
2023,D52,Crimes Against Property,Other,7,7
2014,D33,Crimes Against Property,Other,2,2
2023,D13,Crimes Against Property,Auto Theft,10,10
2018,D13,Crimes Against Property,Theft Over $5000,1,1
2022,D33,Crimes Against Property,Break & Enter-House,1,1
2019,D13,Crimes Against Property,Theft Under $5000,1,1
2023,D53,Crimes Against Property,Break & Enter-Other,1,1
2014,D32,Crimes Against Property,Auto Theft,9,9
2020,D12,Crimes Against Property,Auto Theft,2,2
2015,D23,Crimes Against Property,Break & Enter-Commercial,7,7
2016,NSA,Crimes Against Property,Fraud,1,1
2021,D51,Crimes Against Property,Break & Enter-House,2,2
2022,D22,Crimes Against Property,Break & Enter-Commercial,2,2
2020,D41,Crimes Against Property,Break & Enter-House,1,1
2018,D13,Crimes Against Property,Break & Enter-Commercial,3,3
2016,D32,Crimes Against Property,Break & Enter-Apartment,2,2
2023,D13,Crimes Against Property,Theft Over $5000,2,2
2019,D43,Crimes Against Property,Theft Over $5000,3,3
2023,D41,Crimes Against Property,Auto Theft,45,45
2020,D32,Crimes Against Property,Break & Enter-Commercial,4,4
2016,D32,Crimes Against Property,Theft Under $5000,1,1
2021,D53,Crimes Against Property,Break & Enter-Other,1,1
2015,D12,Crimes Against Property,Theft Over $5000,3,3
2022,D12,Crimes Against Property,Fraud,12,12
2015,D33,Crimes Against Property,Break & Enter-Apartment,1,1
2016,D14,Crimes Against Property,Auto Theft,3,3
2021,D13,Crimes Against Property,Break & Enter-House,5,5
2019,D13,Crimes Against Property,Break & Enter-Apartment,1,1
2022,D55,Crimes Against Property,Fraud,43,43
2020,D12,Crimes Against Property,Break & Enter-Other,1,1
2018,D23,Crimes Against Property,Break & Enter-Other,1,1
2016,D55,Crimes Against Property,Theft Over $5000,3,3
2021,NSA,Crimes Against Property,Auto Theft,1,1
2014,D41,Crimes Against Property,Fraud,1,1
2018,D33,Crimes Against Property,Break & Enter-House,4,4
2022,D53,Crimes Against Property,Theft Over $5000,1,1
2016,D55,Crimes Against Property,Theft Over $5000,7,7
2018,NSA,Crimes Against Property,Fraud,1,1
2018,D12,Crimes Against Property,Break & Enter-House,4,4
2017,D43,Crimes Against Property,Theft Over $5000,1,1
2020,D53,Crimes Against Property,Break & Enter-Other,4,4
2020,D31,Crimes Against Property,Other,3,3
2015,D32,Crimes Against Property,Auto Theft,20,20
2017,D32,Crimes Against Property,Break & Enter-Apartment,1,1
2019,D42,Crimes Against Property,Break & Enter-House,26,26
2016,D22,Crimes Against Property,Break & Enter-Other,3,3
2021,D22,Crimes Against Property,Break & Enter-House,11,11
2018,D23,Crimes Against Property,Theft Over $5000,3,3
2023,D41,Crimes Against Property,Other,24,24
2021,D53,Crimes Against Property,Theft Over $5000,3,3
2020,D32,Crimes Against Property,Break & Enter-Other,2,2
2018,D13,Crimes Against Property,Break & Enter-Other,3,3
2016,D13,Crimes Against Property,Auto Theft,3,3
2022,D12,Crimes Against Property,Auto Theft,13,13
2021,D33,Crimes Against Property,Break & Enter-Apartment,1,1
2015,D22,Crimes Against Property,Break & Enter-Other,5,5
2016,D55,Crimes Against Property,Break & Enter-House,12,12
2018,D41,Crimes Against Property,Break & Enter-House,2,2
2019,NSA,Crimes Against Property,Fraud,1,1
2016,D13,Crimes Against Property,Break & Enter-Other,1,1
2021,D51,Crimes Against Property,Theft Under $5000,85,85
2021,NSA,Crimes Against Property,Theft Under $5000,1,1
2014,D31,Crimes Against Property,Break & Enter-Commercial,2,2
2016,D11,Crimes Against Property,Break & Enter-House,5,5
2014,D55,Crimes Against Property,Break & Enter-Other,2,2
2019,D32,Crimes Against Property,Break & Enter-Apartment,3,3
2017,D53,Crimes Against Property,Other,1,1
2022,D53,Crimes Against Property,Fraud,20,20
2018,D14,Crimes Against Property,Auto Theft,7,7
2018,D13,Crimes Against Property,Break & Enter-Commercial,1,1
2022,D51,Crimes Against Property,Theft Under $5000,1,1
2023,D32,Crimes Against Property,Theft Over $5000,1,1
2021,D53,Crimes Against Property,Theft Over $5000,6,6
2016,D53,Crimes Against Property,Break & Enter-Other,1,1
2016,D32,Crimes Against Property,Theft Over $5000,1,1
2016,D13,Crimes Against Property,Break & Enter-Commercial,1,1
2022,D33,Crimes Against Property,Break & Enter-Apartment,2,2
2020,D32,Crimes Against Property,Break & Enter-Apartment,1,1
2018,D11,Crimes Against Property,Break & Enter-Other,5,5
2023,D12,Crimes Against Property,Fraud,13,13
2015,D43,Crimes Against Property,Break & Enter-Apartment,4,4
2014,D12,Crimes Against Property,Fraud,5,5
2014,D23,Crimes Against Property,Auto Theft,10,10
2018,D11,Crimes Against Property,Break & Enter-House,17,17
2021,D43,Crimes Against Property,Theft Under $5000,4,4
2020,D33,Crimes Against Property,Fraud,29,29
2023,D55,Crimes Against Property,Auto Theft,32,32
2021,D53,Crimes Against Property,Auto Theft,23,23
2019,D22,Crimes Against Property,Break & Enter-Other,2,2
2022,D32,Crimes Against Property,Break & Enter-Other,2,2
2016,D51,Crimes Against Property,Theft Under $5000,1,1
2016,D23,Crimes Against Property,Break & Enter-House,11,11
2020,D55,Crimes Against Property,Theft Over $5000,2,2
2023,D43,Crimes Against Property,Break & Enter-Apartment,1,1
2020,D32,Crimes Against Property,Break & Enter-Apartment,1,1
2021,D55,Crimes Against Property,Break & Enter-Commercial,17,17
2016,D53,Crimes Against Property,Auto Theft,5,5
2019,D55,Crimes Against Property,Break & Enter-Apartment,1,1
2021,D41,Crimes Against Property,Auto Theft,14,14
2023,D14,Crimes Against Property,Break & Enter-House,7,7
2016,D32,Crimes Against Property,Auto Theft,28,28
2018,D43,Crimes Against Property,Break & Enter-House,5,5
2016,D12,Crimes Against Property,Theft Over $5000,4,4
2021,D14,Crimes Against Property,Auto Theft,2,2
2018,D33,Crimes Against Property,Theft Over $5000,2,2
2020,D12,Crimes Against Property,Break & Enter-House,10,10
2017,D51,Crimes Against Property,Fraud,1,1
2022,D11,Crimes Against Property,Break & Enter-Apartment,3,3
2014,D22,Crimes Against Property,Break & Enter-Other,2,2
2018,D51,Crimes Against Property,Break & Enter-Other,2,2
2019,D53,Crimes Against Property,Theft Over $5000,1,1
2017,D41,Crimes Against Property,Break & Enter-Other,2,2
2022,D53,Crimes Against Property,Break & Enter-Apartment,1,1
2021,D23,Crimes Against Property,Theft Over $5000,2,2
2019,D33,Crimes Against Property,Theft Under $5000,1,1
2016,D23,Crimes Against Property,Break & Enter-Other,4,4
2015,D32,Crimes Against Property,Break & Enter-Apartment,3,3
2018,D53,Crimes Against Property,Theft Over $5000,3,3
2017,D43,Crimes Against Property,Auto Theft,1,1
2022,D51,Crimes Against Property,Auto Theft,11,11
2018,D33,Crimes Against Property,Break & Enter-Apartment,16,16
2014,D53,Crimes Against Property,Break & Enter-Other,2,2
2021,D42,Crimes Against Property,Theft Over $5000,2,2
2019,D14,Crimes Against Property,Theft Over $5000,6,6
2018,D23,Crimes Against Property,Break & Enter-House,13,13
2023,D42,Crimes Against Property,Theft Over $5000,2,2
2022,D32,Crimes Against Property,Break & Enter-Apartment,2,2
2015,D55,Crimes Against Property,Auto Theft,7,7
2023,D33,Crimes Against Property,Auto Theft,1,1
2020,D11,Crimes Against Property,Auto Theft,4,4
2017,D22,Crimes Against Property,Theft Over $5000,6,6
2016,D13,Crimes Against Property,Theft Over $5000,5,5
2014,D11,Crimes Against Property,Auto Theft,1,1
2020,D23,Crimes Against Property,Break & Enter-Other,1,1
2022,D43,Crimes Against Property,Theft Under $5000,7,7
2019,D22,Crimes Against Property,Theft Over $5000,1,1
2021,D55,Crimes Against Property,Break & Enter-Apartment,8,8
2019,D11,Crimes Against Property,Break & Enter-Commercial,10,10
2020,D32,Crimes Against Property,Theft Under $5000,1,1
2019,D12,Crimes Against Property,Theft Over $5000,3,3
2022,D43,Crimes Against Property,Theft Over $5000,1,1
2022,D51,Crimes Against Property,Theft Under $5000,1,1
2015,D32,Crimes Against Property,Auto Theft,9,9
2022,D53,Crimes Against Property,Auto Theft,41,41
2015,D42,Crimes Against Property,Auto Theft,9,9
2017,D32,Crimes Against Property,Break & Enter-House,4,4
2016,D22,Crimes Against Property,Auto Theft,1,1
2016,D14,Crimes Against Property,Break & Enter-Other,2,2
2020,D42,Crimes Against Property,Break & Enter-Other,2,2
2016,D11,Crimes Against Property,Theft Under $5000,1,1
2023,D53,Crimes Against Property,Theft Over $5000,1,1
2015,D23,Crimes Against Property,Break & Enter-Apartment,3,3
2018,D23,Crimes Against Property,Break & Enter-House,5,5
2018,D42,Crimes Against Property,Break & Enter-Other,2,2
2016,D33,Crimes Against Property,Break & Enter-Commercial,1,1
2019,D13,Crimes Against Property,Break & Enter-Commercial,1,1
2017,D14,Crimes Against Property,Other,1,1
2016,D14,Crimes Against Property,Auto Theft,10,10
2021,D53,Crimes Against Property,Auto Theft,15,15
2016,D53,Crimes Against Property,Theft Over $5000,1,1
2017,D11,Crimes Against Property,Fraud,1,1
2022,D32,Crimes Against Property,Theft Over $5000,4,4
2023,D53,Crimes Against Property,Break & Enter-Commercial,5,5
2021,D53,Crimes Against Property,Theft Under $5000,10,10
2017,D23,Crimes Against Property,Break & Enter-Other,4,4
2022,D51,Crimes Against Property,Auto Theft,19,19
2015,D42,Crimes Against Property,Theft Over $5000,6,6
2017,D23,Crimes Against Property,Auto Theft,43,43
2021,D32,Crimes Against Property,Break & Enter-Other,5,5
2020,NSA,Crimes Against Property,Fraud,1,1
2014,D14,Crimes Against Property,Theft Over $5000,1,1
2018,D53,Crimes Against Property,Auto Theft,13,13
2017,D52,Crimes Against Property,Auto Theft,1,1
2021,D11,Crimes Against Property,Theft Over $5000,1,1
2022,D14,Crimes Against Property,Theft Over $5000,4,4
2019,D23,Crimes Against Property,Break & Enter-Other,1,1
2023,D42,Crimes Against Property,Break & Enter-Apartment,2,2
2023,D23,Crimes Against Property,Theft Over $5000,8,8
2015,D55,Crimes Against Property,Break & Enter-Apartment,1,1
2019,D22,Crimes Against Property,Auto Theft,41,41
2017,D43,Crimes Against Property,Break & Enter-Commercial,1,1
2023,D32,Crimes Against Property,Auto Theft,37,37
2018,D43,Crimes Against Property,Break & Enter-Other,1,1
2023,D41,Crimes Against Property,Break & Enter-House,3,3
2016,D14,Crimes Against Property,Auto Theft,12,12
2015,D13,Crimes Against Property,Auto Theft,3,3
2016,D22,Crimes Against Property,Break & Enter-Commercial,1,1
2020,D33,Crimes Against Property,Break & Enter-Other,3,3
2017,D51,Crimes Against Property,Theft Over $5000,2,2
2019,D43,Crimes Against Property,Fraud,4,4
2023,D22,Crimes Against Property,Fraud,1,1
2023,D22,Crimes Against Property,Theft Over $5000,5,5
2022,D43,Crimes Against Property,Theft Over $5000,2,2
2017,D33,Crimes Against Property,Other,1,1
2022,D33,Crimes Against Property,Fraud,4,4
2022,D14,Crimes Against Property,Auto Theft,12,12
2015,D42,Crimes Against Property,Break & Enter-Commercial,4,4
2020,D53,Crimes Against Property,Theft Over $5000,12,12
2022,D32,Crimes Against Property,Break & Enter-Commercial,4,4
2014,D11,Crimes Against Property,Auto Theft,1,1
2023,D22,Crimes Against Property,Break & Enter-Other,2,2
2018,D23,Crimes Against Property,Theft Over $5000,1,1
2019,D32,Crimes Against Property,Break & Enter-Apartment,7,7
2018,D53,Crimes Against Property,Other,9,9
2020,D12,Crimes Against Property,Auto Theft,25,25
2019,D22,Crimes Against Property,Auto Theft,12,12
2021,D22,Crimes Against Property,Theft Over $5000,2,2
2022,D11,Crimes Against Property,Fraud,11,11
2022,D11,Crimes Against Property,Break & Enter-Apartment,2,2
2016,D13,Crimes Against Property,Break & Enter-Commercial,1,1
2020,D22,Crimes Against Property,Break & Enter-House,7,7
2016,D23,Crimes Against Property,Break & Enter-House,2,2
2023,D43,Crimes Against Property,Break & Enter-Apartment,1,1
2018,D12,Crimes Against Property,Break & Enter-Apartment,1,1
2015,D42,Crimes Against Property,Break & Enter-Commercial,2,2
2018,D12,Crimes Against Property,Break & Enter-House,8,8
2016,D14,Crimes Against Property,Theft Over $5000,2,2
2019,D52,Crimes Against Property,Break & Enter-House,2,2
2020,D12,Crimes Against Property,Theft Over $5000,10,10
2015,D41,Crimes Against Property,Break & Enter-Apartment,9,9
2014,D51,Crimes Against Property,Theft Over $5000,7,7
2021,D32,Crimes Against Property,Auto Theft,30,30
2016,D33,Crimes Against Property,Break & Enter-Commercial,2,2
2019,D22,Crimes Against Property,Break & Enter-Apartment,7,7
2018,D13,Crimes Against Property,Theft Over $5000,2,2
2022,D51,Crimes Against Property,Break & Enter-House,1,1
2018,D32,Crimes Against Property,Theft Over $5000,7,7
2016,D31,Crimes Against Property,Theft Under $5000,1,1
2015,D43,Crimes Against Property,Break & Enter-Apartment,1,1
2017,D52,Crimes Against Property,Theft Under $5000,1,1
2023,D41,Crimes Against Property,Auto Theft,7,7
2015,D31,Crimes Against Property,Auto Theft,1,1
2022,D13,Crimes Against Property,Break & Enter-House,4,4
2017,D55,Crimes Against Property,Break & Enter-Apartment,2,2
2019,D23,Crimes Against Property,Break & Enter-House,3,3
2021,D14,Crimes Against Property,Break & Enter-Commercial,10,10
2021,D43,Crimes Against Property,Theft Over $5000,2,2
2019,D31,Crimes Against Property,Break & Enter-Other,1,1
2017,D23,Crimes Against Property,Break & Enter-Commercial,1,1
2022,D12,Crimes Against Property,Break & Enter-Commercial,6,6
2015,D11,Crimes Against Property,Break & Enter-Apartment,3,3
2022,D52,Crimes Against Property,Theft Under $5000,21,21
2014,D32,Crimes Against Property,Break & Enter-Apartment,2,2
2018,D11,Crimes Against Property,Auto Theft,2,2
2020,D43,Crimes Against Property,Auto Theft,4,4
2023,D52,Crimes Against Property,Auto Theft,20,20
2018,D51,Crimes Against Property,Break & Enter-Commercial,1,1
2015,D13,Crimes Against Property,Theft Over $5000,3,3
2019,D51,Crimes Against Property,Theft Under $5000,7,7
2019,D43,Crimes Against Property,Theft Over $5000,2,2
2018,D22,Crimes Against Property,Auto Theft,18,18
2023,D31,Crimes Against Property,Break & Enter-Other,1,1
2019,D13,Crimes Against Property,Break & Enter-House,4,4
2022,D53,Crimes Against Property,Break & Enter-House,9,9
2021,D12,Crimes Against Property,Break & Enter-Commercial,1,1
